X,M
943,22943
944,22947
945,22952
946,22957
947,22961
948,22965
949,22970
950,22974
951,22978
952,22982
953,22986
954,22991
955,22994
956,22998
957,23002
958,23006
959,23010
960,23013
961,23017
962,23021
963,23024
964,23027
965,23031
966,23034
967,23037
968,23040
969,23043
970,23047
971,23049
972,23052
973,23055
974,23058
975,23061
976,23063
977,23066
978,23068
979,23071
980,23073
981,23076
982,23078
983,23080
984,23082
985,23084
986,23086
987,23088
988,23090
989,23092
990,23094
991,23096
992,23097
993,23099
994,23100
995,23102
996,23103
997,23104
998,23106
999,23107
1000,23108
1001,23109
1002,23110
1003,23111
1004,23112
1005,23113
1006,23113
1007,23114
1008,23115
1009,23115
1010,23116
1011,23116
1012,23116
1013,23117
1014,23117
1015,23117
1016,23117
1017,23117
1018,23117
1019,23117
1020,23117
1021,23117
1022,23116
1023,23116
1024,23116
1025,23115
1026,23115
1027,23114
1028,23113
1029,23113
1030,23112
1031,23111
1032,23110
1033,23109
1034,23108
1035,23107
1036,23106
1037,23104
1038,23103
1039,23102
1040,23100
1041,23099
1042,23097
1043,23095
1044,23094
1045,23092
1046,23090
1047,23088
1048,23086
1049,23084
1050,23082
1051,23080
1052,23078
1053,23075
1054,23073
1055,23070
1056,23068
1057,23065
1058,23063
1059,23060
1060,23057
1061,23054
1062,23052
1063,23049
1064,23046
1065,23042
1066,23039
1067,23036
1068,23033
1069,23029
1070,23026
1071,23023
1072,23019
1073,23015
1074,23012
1075,23008
1076,23004
1077,23000
1078,22996
1079,22992
1080,22988
1081,22984
1082,22980
1083,22975
1084,22971
1085,22967
1086,22962
1087,22958
1088,22953
1089,22948
1090,22944
1091,22939
1092,22934
1093,22929
1094,22924
1095,22919
1096,22914
1097,22909
1098,22903
1099,22898
1100,22893
1101,22887
1102,22882
1103,22876
1104,22870
1105,22864
1106,22859
1107,22853
1108,22847
1109,22841
1110,22835
1111,22829
1112,22822
1113,22816
1114,22810
1115,22803
1116,22797
1117,22790
1118,22784
1119,22777
1120,22770
1121,22764
1122,22757
1123,22750
1124,22743
1125,22736
1126,22729
1127,22721
1128,22714
1129,22707
1130,22699
1131,22692
1132,22684
1133,22677
1134,22669
1135,22661
1136,22653
1137,22646
1138,22638
1139,22630
1140,22621
1141,22613
1142,22605
1143,22597
1144,22589
1145,22580
1146,22572
1147,22563
1148,22554
1149,22546
1150,22537
1151,22528
1152,22519
1153,22510
1154,22501
1155,22492
1156,22483
1157,22474
1158,22465
1159,22455
1160,22446
1161,22436
1162,22427
1163,22417
1164,22408
1165,22398
